run_id,model_size,train_steps,seed,frac_duplicated,p_dup,dedup_type,embed_noncanonical,ppl,ppl_dedup_all,ppl_dedup_lower,ppl_dedup_plural,ppl_dedup_whitespace
ozsrk2t5,small,18265,1,0.0,,whitespace,True,,,,,22.08361780547681
8w47vfai,small,18265,1,0.0,,,False,21.986275729446017,21.04181956318016,21.560687607759583,21.620189930886703,21.85360718402632
q7q1p1hf,small,18265,2,0.0,,all,False,,21.962183588483384,,,
jvov7xlu,small,18265,2,0.0,,lower,False,,,22.00025851529267,,
brwnu5qq,small,18265,2,0.0,,lower,True,,,21.412819117602325,,
wkarcg1s,small,18265,2,0.0,,plural,False,,,,21.673714512908777,
migufdvs,small,18265,2,0.0,,plural,True,,,,21.4434757190161,
vo82xfi5,small,18265,2,0.0,,whitespace,False,,,,,21.97569861874219
5bgmfm42,small,18265,2,0.0,,whitespace,True,,,,,21.734909055336125
xiutozhd,small,18265,2,0.0,,,False,21.726120670916476,20.799087841207815,21.3095089899002,21.3644635381463,21.596792844437324
ch40c2w6,small,18265,3,0.0,,all,False,,22.176693134591822,,,
bf83zb7z,small,18265,3,0.0,,lower,False,,,21.962467142396132,,
hsdkpgu5,small,18265,3,0.0,,lower,True,,,21.60889162273368,,
p0rz8g52,small,18265,3,0.0,,plural,False,,,,21.911249349382125,
bhy6rm97,small,18265,3,0.0,,plural,True,,,,21.60194059291578,
15dgxi7a,small,18265,3,0.0,,whitespace,False,,,,,22.256091844839055
q6wj0dyu,small,18265,3,0.0,,whitespace,True,,,,,22.035723436136095
aautd5zk,small,18265,3,0.0,,,False,21.99484699760917,21.054158435680115,21.57118540355303,21.62810528009443,21.864590926460803
fdxfc3g6,small,18265,4,0.0,,,False,21.996573933086093,21.05102161995354,21.573104907958864,21.628709048138177,21.862294562914972
hrjhqkyq,small,27397,0,0.0,,,False,20.990170431403488,,,,
5f2igxn4,small,27397,0,1.0,0.5,,False,21.116808785214182,,,,
rsbyp8td,small,36530,0,0.0,,,False,19.77742577662822,,,,
yfoj638y,small,36530,0,1.0,0.5,,False,20.261516249109416,,,,
pc53h2fw,small,54795,0,0.0,,,False,18.80632233689547,,,,
2bb3ppf8,small,54795,0,1.0,0.5,,False,19.282455392949363,,,,
rd4zb4p4,tiny,913,0,0.0,,,False,,,,,
8fix01b4,tiny,1826,0,0.0,,,False,,,,,
o82oorgt,tiny,4566,0,0.0,,,False,,,,,
asr71ez8,tiny,9132,0,0.0,,,False,,,,,
jq33d1e3,tiny,18265,0,0.0,,,False,,,,,
